Anno,città_CORRETTA,Luogo_CORRETTO,Evento
1959,Roma,Teatro Brancaccio,Aspettando Godot [Quartucci '59]
1959,Roma,Teatro delle Arti,Caligola [Ruggiero '59]
1959,Roma,Teatro La Tenda,La Moscheta
1960,Genova,La Borsa d'Arlecchino,Alta Sorveglianza
1960,Roma,Teatro di Via Gallia,Noi tutti ce ne andremo
1960,Roma,Teatro Latino-Metronio,C'era folla al castello
1961,Genova,La Borsa d'Arlecchino,Lo stano caso del dottor Jekyll e di Mister Hyde
1961,Genova,Teatro Duse,Tre atti unici
1961,Genova,Teatro Politeama,Caligola [Bene '61]
1961,Roma,Ridotto dell'Eliseo,Gregorio: cabaret dell'800
1961,Roma,Teatro Goldoni,Le Sedie
1962,Bologna,Teatro La Ribalta,Spettacolo concerto Majakovskij [Bene giugno '62]
1962,Roma,Casa di Nello Ponente,Movimento n.1 per marionetta sola
1962,Roma,Teatro Goldoni,Me e me
1962,Roma,Teatro Laboratorio,Capricci
1962,Roma,Teatro Laboratorio S. Cosimato,Addio Porco
1962,Roma,Teatro Laboratorio S. Cosimato,Amleto [Bene '62]
1962,Roma,Teatro Laboratorio S. Cosimato,Pinocchio
1962,Roma,Teatro Laboratorio S. Cosimato,Spettacolo concerto Majakovskij [Bene novembre '62]
1963,Roma,Teatro Arlecchino,Edoardo II
1963,Roma,Teatro Ateneo,Finale di partita [Quartucci '63]
1963,Roma,Teatro Ateneo,Una gru al tramonto
1963,Roma,Teatro dei Satiri,I Polacchi (Ubu Roi)
1963,Roma,Teatro Laboratorio S. Cosimato,Cristo 63
1964,Genova,Teatro Duse,Aspettando Godot [Quartucci '64]
1964,Roma,Galleria Arco d'Alibert,Spettacolo di 3 pezzi
1964,Roma,Teatro delle Arti,La storia di Sawney Bean
1964,Roma,Teatro delle Muse,Salomè [Bene '64]
1965,Milano,Casa della Cultura,VietNam 1945-1965
1965,Napoli,I.M.A.M. Aefer,Moscheta
1965,Palermo,Teatro Biondo,I sigari di Jupiter
1965,Roma,,Bandi per Virulentia
1965,Roma,Teatro Arlecchino,Manon
1965,Roma,Teatro Club Orsoline 15,A
1965,Roma,Teatro Club Orsoline 15,Balletto due
1965,Roma,Teatro Club Orsoline 15,Flash Fiction
1965,Roma,Teatro Club Orsoline 15,Varietà
1965,Roma,Teatro dei 101,Allen Ginsberg
1965,Roma,Teatro dei 101,Iperipotesi
1965,Roma,Teatro dei 101,Poesie di Beckett
1965,Roma,Teatro della Fiera,Cartoteca
1965,Roma,Teatro Mobile al Km 13 della via Flaminia,"Festival di S. Beckett (Aspettando Godot, Finale di partita, Atto senza parole II)"
1965,Venezia,Biennale di Venezia,Zip Lap Tip Vap Mam Crep Scap Plip Trip Scrap e la Grande Mam
1966,Brescia,Teatro Santa Chiara,Lena e Leonz
1966,Genova,Italsider,La mucca parlò a Pasquale
1966,Genova,Teatro Duse,La Fantesca
1966,Genova,Teatro Parco dei Mervi,Il giornale a pista centrale
1966,Napoli,Centro Teatro Esse,La magia della farfalla
1966,Parma,Festival internazionale del Teatro Universitario,Sacrificio Edilizio
1966,Roma,,Music Combinatorium
1966,Roma,Beat 72,Nostra Signora dei Turchi [Bene '66]
1966,Roma,Beat 72,Sudcombinatorium e Rito Money
1966,Roma,Cab 37,A soggetto
1966,Roma,Galleria Margutta,Il bando per Virulentia
1966,Roma,Sala Synket,Sinfonia per Synket n. 1 e n. 2
1966,Roma,Teatro Centrale,Pinocchio '66
1966,Roma,Teatro Club Orsoline 15,Prove di iniziazione per i Pa v Pn (un pubblico attivo o nessun pubblico)
1966,Roma,Teatro Club Orsoline 15,Salomè [Ricci '66]
1966,Roma,Teatro dei 101,45 minuti per conferenziere
1966,Roma,Teatro dei 101,Dieci Minuti fino a Buffalo
1966,Roma,Teatro dei 101,Direzione Memorie
1966,Roma,Teatro dei 101,Il labirinto 
1966,Roma,Teatro dei 101,Il rumore
1966,Roma,Teatro dei Satiri,Faust o Margherita
1966,Roma,Teatro del Leopardo,"In alto mare, Karol"
1966,Roma,Teatro delle Muse,I viaggi di Gulliver
1966,Roma,Teatro delle Muse,Il rosa e il nero
1966,Roma,Teatro di via Belsiana,La scappatella
1966,Roma,Teatro Valle,Il desiderio preso per la coda
