Attore,Evento,Anno,Relazione,Data_old,Data_flat,Luogo_CORRETTO,città_CORRETTA,"Luogo, città _ORIGINALE",LENGHT
Carmelo Bene,Caligola [Ruggiero '59],1959,recitato in,1 October 1959,1 October 1959,Teatro delle Arti,Roma,"Teatro delle Arti, Roma",17
Giuliano Scabia,"Forse un drago nascerà, un esperienza di teatro vagante coi ragazzi di 12 paesi e città dell Abruzzo",1972,ha diretto,14 April 1972,14 April 1972,,L'Aquila,Abruzzo,0
Giuliano Scabia,"Forse un drago nascerà, un esperienza di teatro vagante coi ragazzi di 12 paesi e città dell Abruzzo",1972,testo/soggetto per,14 April 1972,14 April 1972,,L'Aquila,Abruzzo,0
Carlo Quartucci,Aspettando Godot [Quartucci '59],1959,recitato in,September 1959,September 1959,Teatro Brancaccio,Roma,Teatro Brancaccio,17
Ernesto de Vito,Aspettando Godot [Quartucci '59],1959,recitato in,September 1959,September 1959,Teatro Brancaccio,Roma,Teatro Brancaccio,17
Maurizio Navarra,Aspettando Godot [Quartucci '59],1959,recitato in,September 1959,September 1959,Teatro Brancaccio,Roma,Teatro Brancaccio,17
René Monti,Aspettando Godot [Quartucci '59],1959,recitato in,September 1959,September 1959,Teatro Brancaccio,Roma,Teatro Brancaccio,17
Antonio Meschini,Caligola [Ruggiero '59],1959,recitato in,1 October 1959,1 October 1959,Teatro delle Arti,Roma,"Teatro delle Arti, Roma",17
Antonio Salines,Caligola [Ruggiero '59],1959,recitato in,1 October 1959,1 October 1959,Teatro delle Arti,Roma,"Teatro delle Arti, Roma",17
Antonio Salines,Caligola [Ruggiero '59],1959,recitato in,1 October 1959,1 October 1959,Teatro delle Arti,Roma,"Teatro delle Arti, Roma",17
Giuseppe Tolla,Caligola [Ruggiero '59],1959,recitato in,1 October 1959,1 October 1959,Teatro delle Arti,Roma,"Teatro delle Arti, Roma",17
Maria Elena Zen,Caligola [Ruggiero '59],1959,recitato in,1 October 1959,1 October 1959,Teatro delle Arti,Roma,"Teatro delle Arti, Roma",17
Antonio Barbieri,La Moscheta,1959,recitato in,6 June 1959,6 June 1959,Teatro La Tenda,Roma,"Teatro La Tenda, Roma",15
Claudio Remondi,La Moscheta,1959,recitato in,6 June 1959,6 June 1959,Teatro La Tenda,Roma,"Teatro La Tenda, Roma",15
Giulia Mongiovino,La Moscheta,1959,recitato in,6 June 1959,6 June 1959,Teatro La Tenda,Roma,"Teatro La Tenda, Roma",15
E.T.A. Hoffmann,La principessa Brambilla,1974,testo/soggetto per,7 August 1974,7 August 1974,Arena di Fornillo,Positano,"Arena di Fornillo, Positano",17
Piero Lanciani,La Moscheta,1959,recitato in,6 June 1959,6 June 1959,Teatro La Tenda,Roma,"Teatro La Tenda, Roma",15
Salvatore Salomone,La Moscheta,1959,recitato in,6 June 1959,6 June 1959,Teatro La Tenda,Roma,"Teatro La Tenda, Roma",15
Giancarlo Nanni,La principessa Brambilla,1974,ha curato musiche/sonoro per,7 August 1974,7 August 1974,Arena di Fornillo,Positano,"Arena di Fornillo, Positano",17
Giancarlo Nanni,La principessa Brambilla,1974,ha diretto,7 August 1974,7 August 1974,Arena di Fornillo,Positano,"Arena di Fornillo, Positano",17
Giovanni Dionisi-Vici,La principessa Brambilla,1974,ha curato scene/costumi per,7 August 1974,7 August 1974,Arena di Fornillo,Positano,"Arena di Fornillo, Positano",17
Carlo Quartucci,Noi tutti ce ne andremo,1960,recitato in,March 1960,March 1960,Teatro di Via Gallia,Roma,Teatro di Via Gallia,20
Carlo Quartucci,C'era folla al castello,1960,recitato in,1960,1960,Teatro Latino-Metronio,Roma,"Teatro Latino-Metronio, Roma",22
Celeste Benedetti,Noi tutti ce ne andremo,1960,recitato in,March 1960,March 1960,Teatro di Via Gallia,Roma,Teatro di Via Gallia,20
Coretta Paqualotta,Noi tutti ce ne andremo,1960,recitato in,March 1960,March 1960,Teatro di Via Gallia,Roma,Teatro di Via Gallia,20
Lino Lo Pinto,La principessa Brambilla,1974,ha curato scene/costumi per,7 August 1974,7 August 1974,Arena di Fornillo,Positano,"Arena di Fornillo, Positano",17
Lino Lo Pinto,La principessa Brambilla,1974,ha curato scene/costumi per,7 August 1974,7 August 1974,Arena di Fornillo,Positano,"Arena di Fornillo, Positano",17
Ernesto de Vito,Noi tutti ce ne andremo,1960,recitato in,March 1960,March 1960,Teatro di Via Gallia,Roma,Teatro di Via Gallia,20
Gina Greco,Noi tutti ce ne andremo,1960,recitato in,March 1960,March 1960,Teatro di Via Gallia,Roma,Teatro di Via Gallia,20
Maurizio Navarra,Noi tutti ce ne andremo,1960,recitato in,March 1960,March 1960,Teatro di Via Gallia,Roma,Teatro di Via Gallia,20
René Monti,Noi tutti ce ne andremo,1960,recitato in,March 1960,March 1960,Teatro di Via Gallia,Roma,Teatro di Via Gallia,20
Celeste Benedetti,C'era folla al castello,1960,recitato in,1960,1960,Teatro Latino-Metronio,Roma,"Teatro Latino-Metronio, Roma",22
Carmelo Bene,Manfred,1979,adattamento del testo per,6 May 1979,6 May 1979,Auditorium di via della Conciliazione,Roma,"Auditorium di via della Conciliazione, Roma",37
Carmelo Bene,Manfred,1979,ha diretto,6 May 1979,6 May 1979,Auditorium di via della Conciliazione,Roma,"Auditorium di via della Conciliazione, Roma",37
Coretta Paqualotta,C'era folla al castello,1960,recitato in,1960,1960,Teatro Latino-Metronio,Roma,"Teatro Latino-Metronio, Roma",22
G.G. Byron,Manfred,1979,testo/soggetto per,6 May 1979,6 May 1979,Auditorium di via della Conciliazione,Roma,"Auditorium di via della Conciliazione, Roma",37
Ernesto de Vito,C'era folla al castello,1960,recitato in,1960,1960,Teatro Latino-Metronio,Roma,"Teatro Latino-Metronio, Roma",22
Robert Schumann,Manfred,1979,ha curato musiche/sonoro per,6 May 1979,6 May 1979,Auditorium di via della Conciliazione,Roma,"Auditorium di via della Conciliazione, Roma",37
Alessandro Lombardi,Tactus (Opera),1974,ha diretto,27 September 1974,27 September 1974,Autunno Musicale,Como,"Autunno Musicale, Como",16
Gina Greco,C'era folla al castello,1960,recitato in,1960,1960,Teatro Latino-Metronio,Roma,"Teatro Latino-Metronio, Roma",22
Alessandro Lombardi,Tactus (Opera),1974,testo/soggetto per,27 September 1974,27 September 1974,Autunno Musicale,Como,"Autunno Musicale, Como",16
Maurizio Navarra,C'era folla al castello,1960,recitato in,1960,1960,Teatro Latino-Metronio,Roma,"Teatro Latino-Metronio, Roma",22
Federico Tiezzi,Tactus (Opera),1974,ha diretto,27 September 1974,27 September 1974,Autunno Musicale,Como,"Autunno Musicale, Como",16
René Monti,C'era folla al castello,1960,recitato in,1960,1960,Teatro Latino-Metronio,Roma,"Teatro Latino-Metronio, Roma",22
Federico Tiezzi,Tactus (Opera),1974,testo/soggetto per,27 September 1974,27 September 1974,Autunno Musicale,Como,"Autunno Musicale, Como",16
Marion D'Amburgo,Tactus (Opera),1974,ha diretto,27 September 1974,27 September 1974,Autunno Musicale,Como,"Autunno Musicale, Como",16
Carmelo Bene,Lo stano caso del dottor Jekyll e di Mister Hyde,1961,recitato in,30 May 1961,30 May 1961,La Borsa d'Arlecchino,Genova,"La Borsa d'Arlecchino, Genova",21
Marion D'Amburgo,Tactus (Opera),1974,testo/soggetto per,27 September 1974,27 September 1974,Autunno Musicale,Como,"Autunno Musicale, Como",16
Vera Bemoccoli,Tactus (Opera),1974,ha diretto,27 September 1974,27 September 1974,Autunno Musicale,Como,"Autunno Musicale, Como",16
Carmelo Bene,Gregorio: cabaret dell'800,1961,recitato in,20 October 1961,20 October 1961,Ridotto dell'Eliseo,Roma,"Ridotto dell'Eliseo, Roma",19
Vera Bemoccoli,Tactus (Opera),1974,testo/soggetto per,27 September 1974,27 September 1974,Autunno Musicale,Como,"Autunno Musicale, Como",16
Giancarlo Nanni,Jean Harlow e Billy the Kid,1979,ha curato musiche/sonoro per,September 1979,September 1979,Basilica di Massenzio,Roma,"Basilica di Massenzio, Roma",21
Giancarlo Nanni,Jean Harlow e Billy the Kid,1979,ha diretto,September 1979,September 1979,Basilica di Massenzio,Roma,"Basilica di Massenzio, Roma",21
Carmelo Bene,Tre atti unici,1961,recitato in,May 1961,May 1961,Teatro Duse,Genova,"Teatro Duse, Genova",11
Carlo Quartucci,Le Sedie,1961,recitato in,13 April 1961,13 April 1961,Teatro Goldoni,Roma,"Teatro Goldoni, Roma",14
Marco Del Re,Jean Harlow e Billy the Kid,1979,ha curato scene/costumi per,September 1979,September 1979,Basilica di Massenzio,Roma,"Basilica di Massenzio, Roma",21
Marco Del Re,Jean Harlow e Billy the Kid,1979,ha curato scene/costumi per,September 1979,September 1979,Basilica di Massenzio,Roma,"Basilica di Massenzio, Roma",21
